brand,model,class,type,power se,power bal,output level se,output level bal,impedance se,impedance bal
topping,a50 iii,ab,transistor,16;2150 32;1400 300;190 600;100,32;3500 64;2700 300;760 600;395,21,42,0.1,0.2
fiio,k19,ab,transistor,16;4000 32;2300 300;270,16;4000 32;8000 300;1100,,,0.6,0.6
