freq,db l,db r
19.9110610751817,92.6754742884994,92.4038131930145
20.026760119744,92.6865894113129,92.4171001970802
20.1431314674479,92.6977045341263,92.4303872011459
20.2601790249073,92.7088196569398,92.4436742052116
20.377906721437,92.7199347797532,92.4569612092773
20.4963185091839,92.7310499025667,92.470248213343
20.6154183632601,92.7421650253801,92.4835352174087
20.7352102818763,92.7532801481935,92.4968222214744
20.855698286476,92.7656560797183,92.5113234058067
20.9768864218704,92.7835796735476,92.5311670834411
21.0987787563742,92.8015032673769,92.5510107610755
21.2213793819424,92.8194268612062,92.5708544387099
21.3446924143073,92.8373504550355,92.5906981163444
21.4687219931171,92.8552740488647,92.6105417939788
21.5934722820745,92.873197642694,92.6303854716132
21.7189474690766,92.8911212365233,92.6502291492476
21.8451517663555,92.9090448303526,92.670072826882
21.9720894106197,92.9269684241819,92.6899165045164
22.0997646631965,92.9448920180112,92.7097601821508
22.2281818101747,92.9628156118405,92.7296038597852
22.3573451625487,92.9807392056697,92.7494475374197
22.4872590563633,92.9998122684849,92.7708208523668
22.6179278528589,93.0206484246875,92.7945403754017
22.7493559386186,93.0414845808902,92.8182598984367
22.8815477257145,93.0623207370928,92.8419794214716
23.0145076518569,93.0831568932955,92.8656989445065
23.1482401805422,93.1039930494981,92.8894184675415
23.2827498012035,93.1248292057008,92.9131379905764
23.4180410293611,93.1456653619034,92.9368575136114
23.5541184067739,93.166501518106,92.9605770366463
23.6909865015922,93.1873376743087,92.9842965596813
23.8286499085107,93.2081738305113,93.0080160827162
23.967113248923,93.229009986714,93.0317356057511
24.1063811710768,93.2425333975981,93.0466034841019
24.2464583502294,93.2483526214712,93.0521459008054
24.3873494888055,93.2541718453442,93.057688317509
24.5290593165544,93.2599910692173,93.0632307342126
24.6715925907089,93.2658102930903,93.0687731509162
24.8149540961454,93.2716295169633,93.0743155676197
24.9591486455438,93.2774487408364,93.0798579843233
25.1041810795499,93.2832679647094,93.0854004010269
25.2500562669372,93.2890871885825,93.0909428177305
25.3967791047708,93.2949064124555,93.096485234434
25.5443545185716,93.3007256363285,93.1020276511376
25.6927874624814,93.3091737116925,93.1120145807512
25.8420829194301,93.322545709736,93.1303262247856
25.9922459013017,93.3359177077795,93.1486378688199
26.1432814491037,93.349289705823,93.1669495128543
26.2951946331355,93.3626617038665,93.1852611568887
26.4479905531594,93.3760337019099,93.2035728009231
26.6016743385708,93.3894056999534,93.2218844449575
26.7562511485715,93.4027776979969,93.2401960889918
26.9117261723419,93.4161496960404,93.2585077330262
27.068104629216,93.4295216940838,93.2768193770606
27.2253917688559,93.4428936921273,93.295131021095
27.3835928714288,93.4523094225541,93.3050740431028
27.5427132477837,93.4612094144326,93.313926132597
27.7027582396296,93.4701094063111,93.3227782220912
27.8637332197154,93.4790093981895,93.3316303115854
28.0256435920099,93.487909390068,93.3404824010797
