freq,impedance
19.8863636363636,360.656899136065
20.1637990072746,361.743280350767
20.4451048889758,362.52677504782
20.7303352791017,363.089018557103
21.01954492861,364.335185166947
21.3127893522906,366.48500475474
21.6101248394225,368.429727828173
21.9116084645783,369.451180138761
22.2172980985801,370.311577768462
22.5272524196078,372.294201407285
22.8415309244627,375.400481371108
23.1601939399884,377.606562730894
23.4833026346499,378.853971041468
23.8109190302762,380.905281863949
24.1431060139646,385.074378560826
24.479927350153,388.98922905634
24.8214476928588,391.159492989119
25.1677325980902,393.741020510266
25.5188485364295,398.785374971218
25.8748629057926,404.035470087711
26.235844044366,407.194785430308
26.6018612437247,410.585468967201
26.9729847621331,416.150849492269
27.3492858380308,421.565615649728
27.7308367037079,425.21345253365
28.1177105991695,429.181746790853
28.5099817861945,434.321147644306
28.9077255625908,438.820733867195
29.3110182766487,442.367911555926
29.7199373417959,446.0967436253
30.134561251458,449.985560998435
30.5549695941251,453.46489835943
30.9812430686289,456.556300033754
31.4134634996337,459.505436578873
31.8517138533426,462.662897242052
32.2960782534229,465.727567066071
32.7466419971545,468.416787158986
33.2034915718025,471.529169861528
33.6667146712192,475.005818383065
34.1364002126765,477.987379480155
34.6126383539348,481.535263314866
35.0955205105485,485.678176240449
35.5851393734136,489.073867355405
36.0815889265601,493.151766435156
36.5849644651926,497.596399713124
37.0953626139826,501.014939566462
37.6128813456158,505.055956385665
38.1376199995983,508.771491761038
38.6696793013251,511.488740363138
39.2091613814151,514.38962886706
39.7561697953148,516.466866925351
40.3108095431767,517.815616647302
40.873187090014,518.874908274899
41.4434103861372,519.304312217231
42.0215888878754,519.267396925362
42.6078335785868,519.075111967005
43.2022569899627,518.717280234132
43.8049732236277,518.346945438425
44.4160979730424,518.245654827631
45.035748545711,518.391530470164
45.6640438856989,518.926231990132
46.3011045964644,519.882951329763
46.947052964009,521.210941016625
47.6020129803505,522.821869959099
48.266110367324,524.659481316257
48.939472600714,526.513706299995
49.6222289347246,528.325534285917
50.3145104267899,529.966319720569
51.0164499627307,531.362441606788
51.728182282263,532.557093936016
52.4498440048611,533.534420155309
53.1815736559825,534.440051000286
53.9235116936586,535.355516129034
54.6758005354555,536.406123632265
55.438584585812,537.702931420191
56.2120102637585,539.244326807542
56.9962260310222,541.060648494968
57.7913824205256,542.993374404798
58.597632065281,544.957404655373
59.4151297276897,546.725326958456
60.2440323292484,548.18671925843
61.0844989806715,549.182508371575
61.9366910124326,549.701371189506
62.8007720057325,549.740230746767
63.6769078238992,549.414809976361
64.5652666442259,548.857408498339
65.4660189902531,548.240423289893
66.3793377645017,547.690813505227
67.3053982816615,547.310601395776
68.244378302244,547.10215851442
69.1964580667038,547.028480295402
70.1618203300367,546.99608619893
71.1406503968599,546.924242759661
72.133136156982,546.753955970454
73.1394681214689,546.475378794812
74.1598394592134,546.128660251196
75.1944460340144,545.77420098632
76.2434864421735,545.479363176565
77.3071620506166,545.272887810955
78.3856770355467,545.131360579092
79.4792384216363,544.979669472323
80.5880561217666,544.710522733941
81.7123429773209,544.224206110984
82.8523147990402,543.455567046665
84.0081904084488,542.389301528543
85.1801916798581,541.05819650785
86.368543582956,539.524695863429
87.5734742259903,537.86164468811
88.7952148995553,536.1363275388
90.0340001209887,534.39989895289
91.2900676793878,532.688547023559
92.5636586812543,531.030575371966
93.8550175967752,529.447783010479
95.16439230675,527.948852616013
96.4920341501719,526.521214684003
97.8381979724735,525.129733476064
99.2031421744451,523.726724623268
100.587128761836,522.269891632235
101.990423395646,520.736978292612
103.413295443123,519.125635583437
104.856018029464,517.437611873199
106.31886809025,515.660363013696
107.802126424595,513.764179072445
109.306077749055,511.723079004313
110.831010752275,509.547484641149
112.377218150407,507.300693430532
113.944996743296,505.07722894458
115.534647471453,502.950282996768
117.146475473818,500.923784214285
118.780790146339,498.92664863613
120.437905201355,496.858408807971
122.118138727819,494.654247702816
123.821813252354,492.316584322733
125.549255801163,489.886688253513
127.300797962802,487.385639561742
129.076775951835,484.78425183299
130.877530673362,482.034505263971
132.703407788466,479.133726381935
134.554757780559,476.154477981485
136.43193602266,473.202280544889
138.335302845608,470.337850374716
140.265223607234,467.540909020875
142.222068762485,464.750994481042
144.206213934541,461.939203698694
146.218039986914,459.132743443013
148.257933096556,456.370672699528
150.326284827987,453.650229378908
152.423492208458,450.93099763113
154.549957804163,448.189426282843
156.706089797508,445.452648360732
158.892302065471,442.768703634504
161.109014259038,440.152425526451
163.356651883763,437.573486294694
165.635646381443,434.993067654792
167.946435212936,432.396614129589
170.28946194213,429.790331381229
172.66517632109,427.185163919923
175.074034376389,424.59578228668
177.51649849664,422.040979120755
179.99303752126,419.527336587219
182.504126830458,417.03811311568
185.050248436492,414.554054448552
187.631891076188,412.081399215725
190.24955030476,409.642938385474
192.903728590926,407.243152282051
195.594935413367,404.859011742618
198.323687358519,402.467389192785
201.090508219731,400.068476503918
203.895929097814,397.679755372147
206.740488502986,395.317293591544
209.624732458239,392.987196799695
212.549214604151,390.69030673765
215.514496305161,388.429087905097
218.521146757322,386.203575780612
221.569743097563,384.001634796603
224.660870514468,381.806837629051
227.795122360612,379.619226967273
230.97310026645,377.453410323291
234.195414255806,375.317790646614
237.462682862969,373.212538092818
240.77553325142,371.137306310379
244.134601334221,369.08415939145
247.540531896082,367.041229916825
250.993978717124,365.012018304576
254.49560469838,363.00973720732
258.04608198904,361.039142100883
261.646092115468,359.100060499524
265.296326112031,357.190082188091
268.997484653737,355.302492731026
272.75027819074,353.43852519374
276.555427084706,351.608531502941
280.413661747095,349.819824992807
