brand,model,driver,db/mw,db/vrms,impedance,balance,back,production,note
Audeze,LCD-XC,planar,100,,20,yes,closed,producing,
Audeze,LCD-GX,planar,100,,20,yes,open,producing,
Audeze,LCD-3,planar,101,,110,yes,open,producing,
Audeze,LCD-2,planar,101,,70,yes,open,producing,
Audeze,LCD-2 Classic,planar,101,,70,yes,open,producing,
Audeze,LCD-2 Closed,planar,101,,70,yes,closed,producing,
Audeze,LCD-4,planar,97,,200,yes,open,discontinued,
Audeze,LCD-1,planar,99,,16,yes,open,discontinued,
Audeze,Sine,planar,,,,no,closed,discontinued,
Meze,Elite,planar,101,,32,yes,open,producing,
Meze,Empyrean II,planar,,105,32,yes,open,producing,
Meze,109 pro,dynamic,112,,40,yes,open,producing,
Meze,Liric,planar,100,,61,yes,closed,producing,
Meze,99 Classics,dynamic,103,,32,yes,closed,producing,
Meze,99 Neo,dynamic,103,,26,yes,closed,producing,
Focal,Utopia 2022,dynamic,104,,80,yes,open,producing,
Focal,Stellia,dynamic,106,,35,yes,closed,producing,
Focal,Clear Mg,dynamic,104,,55,yes,open,producing,
Focal,Celestee,dynamic,105,,35,yes,closed,producing,
Focal,Hadenys,dynamic,100,,26,no,open,producing,
Focal,Azurys,dynamic,100,,26,no,closed,producing,
Focal,Clear Mg Pro,dynamic,104,,55,yes,open,producing,
Focal,Listen Pro,dynamic,,122,32,no,closed,producing,
Focal,Radiance,dynamic,101,,35,yes,closed,producing,
Focal,Elegia,dynamic,105,,35,yes,open,producing,
Focal,Utopia 2016,dynamic,104,,80,yes,open,discontinued,
Focal,Clear,dynamic,,,,yes,open,discontinued,
Focal,Clear Pro,dynamic,,,,yes,open,discontinued,
NAN,NAN-7,planar,,100,14,yes,open,producing,
NAN,NAN-6,planar,,,,yes,open,discontinued,
XK Audio,X1266,planar,88,,30,yes,open,producing,
XK Audio,Avalon MKII,dynamic,97,,280,yes,open,producing,
XK Audio,Sinae Open,dynamic,98,,300,yes,open,producing,
XK Audio,Sinae Closed,dynamic,98,,300,yes,closed,producing,
XK Audio,Ken,dynamic,110,,32,yes,open,producing,
Abyss,1266 Phi TC,planar,88,,50,yes,open,producing,
Abyss,Diana DZ,planar,92,,50,yes,open,producing,
Abyss,Diana MR,planar,93,,30,yes,open,producing,
Abyss,Diana TC,planar,90,,69,yes,open,producing,
Abyss,Diana Phi,planar,,,,yes,open,discontinued,
Abyss,Diana V2,planar,,,,yes,open,discontinued,
Sony,MDR-7506,dynamic,106,,63,no,closed,producing,
Sony,MDR-cd900st,dynamic,106,,63,no,closed,producing,
Sony,MDR-MV1,dynamic,100,,24,yes,open,producing,
Sony,MDR-Z1R,dynamic,100,,64,yes,closed,producing,
Sony,MDR-R10,dynamic,,,,yes,closed,discontinued,
Sony,Qualia 010,dynamic,,,,yes,open,discontinued,
微翼,超新星,dynamic,103,,32,no,closed,producing,
Philips,shp9500,dynamic,101,,32,no,open,producing,
Philips,shp9600,dynamic,102,,32,no,open,producing,
Philips,Fidelio X1S,dynamic,100,,30,no,open,producing,
Philips,Fidelio X2,dynamic,100,,30,no,open,discontinued,
Philips,Fidelio X2HR,dynamic,100,,30,yes,open,producing,
Philips,Fidelio X3,dynamic,93,,30,yes,open,producing,
ATH,m20x,dynamic,96,,47,no,closed,producing,
ATH,m30x,dynamic,96,,47,no,closed,producing,
ATH,m40x,dynamic,98,,35,no,closed,producing,
ATH,m50x,dynamic,99,,38,no,closed,producing,
ATH,m60x,dynamic,102,,38,no,closed,producing,
ATH,m70x,dynamic,97,,35,no,closed,producing,
ATH,r70x,dynamic,98,,470,yes,open,producing,
ATH,AWKG,dynamic,102,,48,yes,closed,producing,
ATH,AWKT,dynamic,102,,48,yes,closed,producing,
ATH,AWAS,dynamic,99,,40,yes,closed,producing,
ATH,W2022,dynamic,98,,48,yes,closed,producing,
ATH,a2000z,dynamic,101,,42,unsertain,closed,producing,
ATH,a1000z,dynamic,101,,44,unsertain,closed,producing,
ATH,a990z,dynamic,100,,44,no,closed,producing,
ATH,a550z,dynamic,100,,40,no,closed,producing,
ATH,adx5000,dynamic,100,,420,yes,open,producing,
ATH,ad2000x,dynamic,103,,40,yes,open,producing,
ATH,ad1000x,dynamic,102,,40,yes,open,producing,
ATH,ad900x,dynamic,103,,38,no,open,producing,
ATH,ad700x,dynamic,100,,38,no,open,producing,
ATH,ad500x,dynamic,100,,48,no,open,producing,
ATH,msr7,dynamic,101,,36,yes,closed,producing,
DCA,E3,planar,90,,27,yes,semi-closed,producing,
DCA,Expanse,planar,,,,yes,open,producing,
DCA,Stealth,planar,,,,yes,closed,producing,
DCA,AEON 2,planar,,,,yes,open,producing,
DCA,AEON 2 Noire,planar,,,,yes,closed,producing
DCA,AEON RT open,planar,,,,yes,open,producing,
DCA,AEON RT closed,planar,,,,yes,closed,producing,
Feaulle,Feature,dynamic,,105,32,yes,closed,producing,
Feaulle,Century,dynamic,,110,32,yes,open,producing,
Aune,AR5000,dynamic,,108,28,yes,open,producing,
Aune,SR7000,dynamic,,,,yes,closed,upcoming,
Denon,AH-D5200,dynamic,103,,24,yes,closed,producing,
Denon,AH-D7200,dynamic,105,,25,yes,closed,producing,
Denon,AH-D9200,dynamic,105,,24,yes,closed,producing,
VZR,Model One,dynamic,100,,32,yes,closed,producing,
Shure,srh440a,dynamic,97,,40,no,closed,producing,
Shure,srh840a,dynamic,97,,40,no,open,producing,
Shure,srh240a,dynamic,107,,38,unsertain,closed,producing,
Shure,srh550dj,dynamic,109,,32,unsertain,closed,producing,
Shure,srh1440,dynamic,101,,37,yes,open,producing,
Shure,srh1540,dynamic,99,,46,yes,closed,producing,
Shure,srh1840,dynamic,96,,65,yes,open,producing,
Ultrasone,Edition 11,dynamic,,,32,yes,open,inventory,data not secured
MusicWizard,PMH-1,planar,99,,60,yes,open,producing,
T+A,Solitaire P,planar magnetostatic,,,80,yes,open,producing,
T+A,Solitaire P-SE,planar magnetostatic,,,45,yes,open,producing,
Yamaha,YH-5000SE,planar,98,,34,yes,open,producing,
ZMF,Atticus,dynamic,99,,300,yes,semi-closed,producing,
ZMF,Aeolus,dynamic,99,,300,yes,open,producing,
ZMF,Verite,dynamic,97,,300,yes,open,producing,
ZMF,Verite Closed,dynamic,99,,300,yes,closed,producing,
ZMF,Auteur,dynamic,97,,300,yes,open,producing,
ZMF,Eikon,dynamic,98,,300,yes,semi-closed,producing,
ZMF,Caldera,planar,95,,60,yes,open,producing,
ZMF,Caldera Closed,planar,94,,60,yes,closed,producing,
ZMF,Bokeh,dynamic,103,,80,yes,closed,producing,
Final,d8000,planar,98,,60,yes,open,producing,
Final,d8000pro,planar,98,,60,yes,open,producing,
Final,d7000,planar,89,,50,yes,open,producing,
Final,Sonorous X,dynamic,105,,16,yes,open,producing,
Final,Sonorous VIII,dynamic,105,,16,yes,unsertain,unsertain,
Final,Sonorous VI,dynamic,105,,8,yes,unsertain,unsertain,
Final,Sonorous IV,dynamic,105,,8,yes,unsertain,unsertain,
Final,Sonorous III,dynamic,105,,16,yes,unsertain,unsertain,
Austrian,Composer,dynamic,,112,22,yes,open,producing,
Austrian,Hi-X65,dynamic,,110,25,no,open,producing,
Austrian,Hi-X60,dynamic,,110,25,no,closed,producing,
Austrian,Hi-X55,dynamic,,118,25,no,closed,producing,
Austrian,Hi-X50,dynamic,,118,25,no,closed,producing,
Austrian,Hi-X15,dynamic,,113,25,no,closed,producing,
Sivga,Pheonix,dynamic,103,,32,yes,open,producing,
Sivga,Robin SV021,dynamic,105,,32,yes,closed,producing,
Sivga,SV023,dynamic,105,,300,yes,open,producing,
Sivga,Oriole,dynamic,108,,32,yes,closed,producing,
Sivga,Luan,dynamic,100,,38,yes,open,producing,
Sivga,P2,planar,98,,32,yes,open,producing,
Sivga,P2 Pro,planar,98,,32,yes,open,producing,
Sivga,Peacock,planar,103,,50,yes,open,producing,
Sivga,AIVA,planar,96,,32,yes,open,producing,
Sivga,Apollo,planar,95,,16,yes,open,producing,
Sivga,SV007,dynamic,105,,16,yes,open,producing,
Grado,SR325x,dynamic,98,,38,unsertain,open,producing,
Grado,SR225x,dynamic,98,,38,unsertain,open,producing,
Grado,SR125x,dynamic,98,,38,unsertain,open,producing,
Grado,SR80x,dynamic,98,,38,unsertain,open,producing,
Grado,SR60x,dynamic,98,,38,unsertain,open,producing,
Grado,RS1x,dynamic,99.8,,38,yes,open,producing,
Grado,RS2x,dynamic,99.8,,38,yes,open,producing,
Grado,Hemp,dynamic,,,38,unsertain,open,producing,
Grado,GS3000x,dynamic,99.8,,38,yes,open,producing,
Grado,GS1000x,dynamic,99.8,,38,unsertain,open,producing,
Grado,SR325 LE Gold,dynamic,98,,38,unsertain,open,producing,
Grado,PS500 Special,dynamic,98.8,,38,unsertain,open,producing,
Grado,PS1000 LE,dynamic,99.8,,38,unsertain,open,producing,
Grado,GS2000e,dynamic,99.8,,32,unsertain,open,producing,
Grado,Alessandro MPROx,dynamic,98,,38,no,open,producing,
Verum,Verum 1,planar,96,116,8,yes,open,producing,
Verum,Verum 2,planar,94,,12,yes,open,producing,
Gold Planar,gl400,planar,94,,22,yes,open,unsertain,
Gold Planar,gl1200,ribbon,90,,4.2,yes,open,producing,0.1 Ω trans to 4.2 Ω
Gold Planar,gl850,AMT,90,,32,yes,open,producing,
Gold Planar,gl2000 dual-magenetic,planar,99,,60,yes,open,producing,
Gold Planar,gl2000 single-magenetic,planar,95,,60,yes,open,producing,
Gold Planar,gl1000c,planar,97,,18,yes,closed,producing,
Gold Planar,gl1000,planar,100,,50,yes,open,producing,
Gold Planar,gl600,planar,100,,22,yes,open,producing,
Hedd,Heddphone 1,AMT,87,,42,yes,open,inventory,
Hedd,Heddphone 2,AMT,89,,41,yes,open,producing,
汤老师,不朽 16 (both version),planar,98,,600,yes,open,producing,
汤老师,不朽 80 (both version),planar,,,2500,yes,open,producing,
Erzetich,Thalia,dynamic,,,32,yes,open,producing,
Erzetich,Mania,dynamic,,,80,yes,open,producing,
Erzetich,Phobos v2018,planar,,,45,yes,open,producing,
Erzetich,Phobos v2021,planar,,,45,yes,open,producing,
Erzetich,Charybdis,planar,,,43,yes,open,producing,
Taksar,PRO82,dynamic,96,,32,no,closed,producing,
Harmonic Dyne,Zeus Elite,dynamic,,105,32,yes,open,producing,
Harmonic Dyne,Poseidon,dynamic,103,,64,yes,open,producing,
Harmonic Dyne,Black Hole,dynamic,,110,32,yes,semi-closed,producing,
